ncessch,state,lat,lon,cbsa,school_year,cbsatype,cnty,nmcnty,fipst,statename,sch_name,lea_name,st_leaid,leaid,st_schid,sy_status_text,sch_type_text,recon_status,charter_text,g_pk_offered,tot_enrollment,teacher_fte,prop_frl,re_amind,re_asian,re_black,re_hisp,re_missing,re_multi,re_nathi,re_white,prop_gen_female,prop_gen_miss
410192001234,OR,45.530545,-122.853237,38900,2014-2015,1,41067,Washington County,41,OREGON,Five Oaks Middle School,Beaverton SD 48J,00000000002243,4101920,00000000000000001181,Open,Regular School,No,No,N,1020,51.25,0.6107843137254902,0.00196078431372549,0.0892156862745098,0.052941176470588235,0.3931372549019608,0,0.045098039215686274,0.00392156862745098,0.4137254901960784,0.5088235294117647,NA
410192001234,OR,45.530545,-122.853237,38900,2015-2016,1,41067,Washington County,41,OREGON,Five Oaks Middle School,Beaverton SD 48J,00000000002243,4101920,00000000002243-00000000000000001181,Open,Regular School,No,No,No,1019,54.4,0.549558390578999,0.0068694798822374874,0.08832188420019627,0.05103042198233562,0.38763493621197254,0,0.04317958783120707,0.015701668302257114,0.4072620215897939,0.5024533856722276,NA
410192001234,OR,45.530545000000004,-122.85323700000001,38900,2016-2017,1,41067,Washington County,41,OREGON,Five Oaks Middle School,Beaverton SD 48J,OR-00000000002243,4101920,OR-00000000002243-00000000000000001181,Open,Regular School,No,No,No,5170,56.14,0.12572533849129594,0.0046421663442940036,0.03636363636363636,0.020889748549323017,0.1470019342359768,0.6,0.019729206963249517,0.00851063829787234,0.16286266924564796,0.20193423597678917,0.6
410192001234,OR,45.530545000000004,-122.85323700000001,38900,2017-2018,1,41067,Washington County,41,OREGON,Five Oaks Middle School,Beaverton SD 48J,OR-00000000002243,4101920,OR-00000000002243-00000000000000001181,Open,Regular School,No,No,No,5255,54.80,0.1219790675547098,0.0041864890580399616,0.03501427212178877,0.02093244529019981,0.15185537583254044,0.6,0.023977164605137963,0.0068506184586108465,0.1571836346336822,0.20704091341579448,0.6
410192001235,OR,45.515238,-122.823519,38900,2014-2015,1,41067,Washington County,41,OREGON,Meadow Park Middle School,Beaverton SD 48J,00000000002243,4101920,00000000000000001182,Open,Regular School,No,No,N,832,43.39,0.43149038461538464,0.009615384615384616,0.16346153846153846,0.03485576923076923,0.3016826923076923,0,0.08533653846153846,0.006009615384615385,0.39903846153846156,0.453125,NA
410192001235,OR,45.515238,-122.823519,38900,2015-2016,1,41067,Washington County,41,OREGON,Meadow Park Middle School,Beaverton SD 48J,00000000002243,4101920,00000000002243-00000000000000001182,Open,Regular School,No,No,No,876,48.58,0.3949771689497717,0.010273972602739725,0.1632420091324201,0.0319634703196347,0.295662100456621,0,0.07990867579908675,0.00684931506849315,0.4121004566210046,0.454337899543379,NA
410192001235,OR,45.515238000000004,-122.823519,38900,2016-2017,1,41067,Washington County,41,OREGON,Meadow Park Middle School,Beaverton SD 48J,OR-00000000002243,4101920,OR-00000000002243-00000000000000001182,Open,Regular School,No,No,No,4400,52.48,0.09022727272727273,9.090909090909091e-4,0.05863636363636364,0.016363636363636365,0.12454545454545454,0.6,0.03681818181818182,0.003181818181818182,0.15954545454545455,0.18636363636363637,0.6
410192001235,OR,45.515238000000004,-122.823519,38900,2017-2018,1,41067,Washington County,41,OREGON,Meadow Park Middle School,Beaverton SD 48J,OR-00000000002243,4101920,OR-00000000002243-00000000000000001182,Open,Regular School,No,No,No,4175,47.00,0.08934131736526946,0.001437125748502994,0.054131736526946105,0.017245508982035928,0.1302994011976048,0.6,0.03544910179640719,0.0033532934131736527,0.15808383233532936,0.18538922155688622,0.6
410192001236,OR,45.479317,-122.855952,38900,2014-2015,1,41067,Washington County,41,OREGON,Mountain View Middle School,Beaverton SD 48J,00000000002243,4101920,00000000000000001183,Open,Regular School,No,No,N,876,44.96,0.5559360730593608,0.0045662100456621,0.05707762557077625,0.04452054794520548,0.3356164383561644,0,0.05707762557077625,0.01141552511415525,0.4897260273972603,0.4726027397260274,NA
410192001236,OR,45.479317,-122.855952,38900,2015-2016,1,41067,Washington County,41,OREGON,Mountain View Middle School,Beaverton SD 48J,00000000002243,4101920,00000000002243-00000000000000001183,Open,Regular School,No,No,No,866,44.14,0.5311778290993071,0.003464203233256351,0.07043879907621248,0.03926096997690531,0.34757505773672054,0,0.05658198614318707,0.015011547344110854,0.4676674364896074,0.4792147806004619,NA
