county,business_name,type_of_care,licensure,quality_rating,area_code,phone,city,lattitude,longitude
benton,STARS Adams,School Age Program,Unlicensed - Recorded,NA,541,757-1909,Corvallis,44.55140699999999,-123.288494
benton,(ECC)Your 2nd Home Daycare,(CCC) Emergency Care,Licensed - Registered Family,NA,541,207-7950,Philomath,44.54184899999999,-123.340022
benton,Boys & Girls Club of Corvallis -  Club Plus,School Age Program,Licensed - Certified Center,NA,541,757-1909,Corvallis,44.58786299999999,-123.264577
benton,Kidco Head Start - Corvallis Lincoln Center,Preschool Program,Licensed - Certified Center,NA,541,451-1581,Corvallis,44.544942999999996,-123.26486500000001
benton,Santiam Christian School,Preschool Program,Unlicensed - Recorded,NA,541,745-5524,Adair Village,44.671935000000005,-123.21727100000001
benton,STARS Hoover,School Age Program,Unlicensed - Recorded,NA,541,757-1909,Corvallis,44.592501000000006,-123.292581
benton,Lincoln Lions Club,School Age Program,Unlicensed - Exempt,NA,541,757-1909,Corvallis,44.544942999999996,-123.26486500000001
benton,(ECC) Gratitude Gardens,(CCC) Emergency Care,Licensed - Registered Family,NA,541,501-2714,Corvallis,44.589873,-123.282912
benton,Crescent Valley Preschool,Preschool Program,Unlicensed - Exempt,NA,541,757-4563,Corvallis,44.615573000000005,-123.26368000000001
benton,(ECC) Dandelion Early Learners,(CCC) Emergency Care,Licensed - Certified Family,NA,503,927-7873,Albany,44.663057,-123.119363
benton,Little Beavers Preschool,Child Care Center,Licensed - Certified Center,NA,541,754-8899,Corvallis,44.62176,-123.24342100000001
benton,Alpine Cooperative Preschool,Preschool Program,Unlicensed - Recorded,NA,541,517-5943,Monroe,44.329766,-123.35996
benton,Eagle Nest Preschool at King's Valley,Preschool Program,Unlicensed - Exempt,NA,541,929-2134,Philomath,44.694581,-123.432928
clackamas,Children's Hour Academy - Meridian,Child Care Center,Licensed - Certified Center,5 Star Program,503,635-2139,Lake Oswego,45.399183,-122.74324700000001
clackamas,(ECC) Maryam's Preschool,(CCC) Emergency Care,Licensed - Certified Family,5 Star Program,503,699-6499,Lake Oswego,45.414635999999994,-122.720874
clackamas,(ECC) Tenderheart Preschool and Childcare,(CCC) Emergency Care,Licensed - Certified Family,5 Star Program,503,653-5052,Milwaukie,45.415842999999995,-122.59766900000002
clackamas,Head Start to Success at the Ackerman Center,(CCC) Other - Unlicensed,Unlicensed - School Partners,5 Star Program,503,675-4102,Canby,45.252930000000006,-122.684651
clackamas,(ECC) Maggie's Happy Hearts Preschool & Child Care,Family Child Care,Licensed - Certified Family,5 Star Program,503,305-8844,Milwaukie,45.408680999999994,-122.635913
clackamas,Kindercare West Linn,Child Care Center,Licensed - Certified Center,4 Star Program,503,636-0092,West Linn,45.391739,-122.645474
clackamas,(ECC),Family Child Care,Licensed - Registered Family,3 Star Program,503,860-5285,Milwaukie,NA,NA
clackamas,(ECC) Ana's Day Care,(CCC) Emergency Care,Licensed - Certified Family,3 Star Program,503,476-7353,Canby,45.26845200000001,-122.69232999999998
clackamas,(ECC) LuLu's Day Care,Family Child Care,Licensed - Certified Family,3 Star Program,503,753-6515,Wilsonville,45.305773,-122.784671
clackamas,(ECC) Cheerful Hearts Child Care,Family Child Care,Licensed - Certified Family,3 Star Program,503,260-8719,Damascus,45.460173000000005,-122.402084
clackamas,(ECC) Nelson's Little Monkeys,(CCC) Emergency Care,Licensed - Certified Family,3 Star Program,503,819-7389,Happy Valley,45.434345,-122.54783300000001
clackamas,(ECC) Kindercare Lake Grove,Child Care Center,Licensed - Certified Center,3 Star Program,503,635-8982,Lake Oswego,45.413183,-122.71613900000001
clackamas,(ECC) Gail's Daycare,(CCC) Emergency Care,Licensed - Registered Family,3 Star Program,503,657-8478,Gladstone,45.38159699999999,-122.597036
clackamas,(ECC) Pechochos Day Care,(CCC) Emergency Care,Licensed - Certified Family,3 Star Program,503,263-6662,Canby,45.26557500000001,-122.69110500000001
clackamas,(ECC) Campos Daycare,Family Child Care,Licensed - Registered Family,C2Q,503,307-7626,Gladstone,45.38462399999999,-122.59621400000002
clackamas,St John the Baptist Preschool,Preschool Program,Licensed - Certified Center,C2Q,503,654-0200,Milwaukie,45.443270999999996,-122.63612400000001
clackamas,Lee's Martial Arts Academy After School Care,Child Care Center,Licensed - Certified Center,C2Q,503,682-2318,Wilsonville,45.303673999999994,-122.76422200000002
clackamas,(ECC) Happy Valley Montessori School,Preschool Program,Licensed - Certified Center,C2Q,503,698-2333,Clackamas,45.417338,-122.52389
clackamas,(ECC) Amiguitos Eastside,Child Care Center,Licensed - Certified Center,C2Q,503,653-4081,Milwaukie,45.423549,-122.610769
clackamas,(ECC) Caterpillar Clubhouse,(CCC) Emergency Care,Licensed - Certified Center,C2Q,503,759-7030,Molalla,45.147245999999996,-122.576284
clackamas,Milwaukie Montessori School and Day Care,Family Child Care,Licensed - Certified Family,C2Q,503,786-4256,Milwaukie,45.445223999999996,-122.587711
clackamas,(ECC) YMCA Development Center (Clackamas Community College),Child Care Center,Licensed - Certified Center,C2Q,503,657-9795,Oregon City,45.323701,-122.57863199999998
clackamas,Creative Minds Learning Centers - Tualatin,Child Care Center,Licensed - Certified Center,C2Q,503,855-3718,Tualatin,45.382433,-122.74343900000001
clackamas,Sandy Grade School - Preschool Promise,(CCC) Other - Unlicensed,Unlicensed - School Partners,C2Q,503,668-8065,Sandy,45.398698,-122.262703
clackamas,Gladstone Teaching Preschool,(CCC) Other - Unlicensed,Unlicensed - School Partners,C2Q,503,496-3939,Gladstone,45.384744999999995,-122.598591
clackamas,(ECC) Sunshine Early Learning Center,Child Care Center,Licensed - Certified Center,C2Q,503,974-4638,Milwaukie,45.443116,-122.64035799999999
clackamas,(ECC) Cuddle Time Preschool,(CCC) Emergency Care,Licensed - Certified Family,C2Q,503,652-6908,Milwaukie,45.455725,-122.612139
clackamas,(ECC) Honeybear Daycare,Family Child Care,Licensed - Registered Family,C2Q,971,276-9295,Canby,45.26505900000001,-122.705958
clackamas,In a Child's Path - Farm,Family Child Care,Licensed - Certified Family,C2Q,503,421-9194,Boring,45.420258000000004,-122.359527
clackamas,(ECC) The Goddard School - Clackamas,Child Care Center,Licensed - Certified Center,C2Q,503,658-8715,Clackamas,45.42403,-122.517076
clackamas,(ECC)Oak Grove Day Care and Preschool,Child Care Center,Licensed - Certified Center,C2Q,503,659-5832,Milwaukie,45.416492,-122.643686
clackamas,(ECC) Oregon City Day School,Child Care Center,Licensed - Certified Center,C2Q,503,650-0633,Oregon City,45.327459,-122.58409300000001
clackamas,"(ECC) Sugarplums Learning Center, LLC",(CCC) Emergency Care,Licensed - Certified Center,C2Q,503,659-3070,Milwaukie,NA,NA
clackamas,(ECC) Tenderheart Childcare Too,(CCC) Emergency Care,Licensed - Certified Family,C2Q,503,653-5052,Milwaukie,45.416392,-122.59714100000001
clackamas,(ECC) Club K After School Zone - Boones Ferry Primary,School Age Program,Licensed - Certified Center,C2Q,503,643-9059,Wilsonville,45.30014,-122.793496
clackamas,(ECC),(CCC) Emergency Care,Licensed - Certified Family,C2Q,503,545-1272,Oregon City,NA,NA
clackamas,(ECC) KinderCare Learning Center - Sunnyside,(CCC) Emergency Care,Licensed - Certified Center,C2Q,503,698-5040,Clackamas,45.433904,-122.55615
clackamas,Playschool at Mountain Park,Child Care Center,Licensed - Certified Center,C2Q,503,636-8962,Lake Oswego,45.431633999999995,-122.71527300000001
clackamas,International Leadership Academy,Child Care Center,Licensed - Certified Center,C2Q,503,662-8452,Lake Oswego,45.419139,-122.71189700000001
clackamas,Sandy Head Start Preschool at Sandy Grade School,Child Care Center,Unlicensed - School Partners,C2Q,503,675-4102,Sandy,45.398698,-122.262703
clackamas,(ECC) Monroe Street YMCA - Child Development Center,Child Care Center,Licensed - Certified Center,C2Q,503,654-5437,Milwaukie,45.444767999999996,-122.63195900000001
clackamas,North Clackamas School District - Happy Valley CARE,School Age Program,Unlicensed - Exempt,NA,503,353-6090,Happy Valley,45.447732,-122.517808
clackamas,Sunnyside Montessori House of Children,Preschool Program,Licensed - Certified Center,NA,503,698-4203,Happy Valley,45.432834,-122.537733
clackamas,(ECC) Angela's Lil Angels,Family Child Care,Licensed - Registered Family,NA,503,317-8521,Milwaukie,45.455434,-122.610257
clackamas,(ECC) Story Book Day Care,(CCC) Emergency Care,Licensed - Registered Family,NA,503,899-8220,Oregon City,45.352121,-122.60593799999998
clackamas,(ECC) Nena's Daycare,(CCC) Emergency Care,Licensed - Registered Family,NA,503,656-5047,Milwaukie,45.419,-122.58075099999999
clackamas,Bethlehem Christian Preschool,Child Care Center,Licensed - Certified Center,NA,503,638-0725,Lake Oswego,45.395588000000004,-122.690583
